gene_symbol,meanTumor,meanControl,pvalue,log2FC
CDKL3,0.273735638,0.576450419,0.319648675,-0.302714781
UBE2B,6.207949541,5.703760979,0.004998402,0.504188562
CDKN2AIPNL,5.214117572,5.060946894,0.088361067,0.153170678
RPS10P11,0.076031186,0.032677999,0.43695848,0.043353187
LOC102546229,0,0,1,0
RNU6-456P,0,0,1,0
LINC01843,0,0.148376929,0.078546142,-0.148376929
RN7SL541P,0,0,1,0
JADE2,6.645545493,6.721463107,0.180710914,-0.075917614
SAR1B,6.745317437,6.505408665,0.001004117,0.239908772
RNU6-1311P,0,0,1,0
SEC24A,6.901190214,6.697483784,0.104206969,0.203706431
RNU6-1164P,0,0,1,0
RNU6-757P,0.037832386,0.146573827,0.539400459,-0.108741441
CAMLG,5.717143586,5.656717703,0.400024614,0.060425883
DDX46,7.546810629,7.391251043,0.006695344,0.155559586
RPL34P13,0,0,1,0
C5orf24,7.049344207,6.322217104,0.000789847,0.727127103
TXNDC15,6.294772768,6.101013354,0.01347722,0.193759414
PCBD2,3.095259268,3.034504053,0.472450458,0.060755215
MTCYBP18,0.216150696,0.148376929,0.416394222,0.067773767
MTND6P4,0,0.217655618,0.090572165,-0.217655618
MTND5P11,0.105591426,0.06327605,0.751951352,0.042315375
MTND4P12,3.198462436,3.080264391,0.294620129,0.118198045
MTND3P25,0,0,1,0
CATSPER3,0.148641872,0.181875006,0.764821662,-0.033233134
PITX1,5.169495746,5.384948037,0.018646634,-0.215452291
PITX1-AS1,0.940215913,1.052776503,0.593499847,-0.11256059
EPIST,0.146489731,0.198035875,0.71012283,-0.051546144
LINC02900,0,0,1,0
MACROH2A1,8.170911783,8.303980264,0.011300867,-0.133068481
DCANP1,0,0,1,0
TIFAB,0,0,1,0
NEUROG1,0,0,1,0
CXCL14,0.564371551,0.862432944,0.315115419,-0.298061393
SLC25A48,0.0381988,0.032677999,0.917958385,0.005520801
SLC25A48-AS1,0,0,1,0
MIR5692C1,0,0,1,0
LOC107986453,0,0,1,0
IL9,0,0,1,0
LECT2,0,0,1,0
TGFBI,10.77787332,11.05042522,0.000794563,-0.272551899
VTRNA2-1,0,0,1,0
SMAD5-AS1,0.287787515,0.222211398,0.783636734,0.065576117
SMAD5,7.547878344,6.860234331,0.001001864,0.687644013
SMIM32,0,0,1,0
TRPC7,0,0,1,0
TRPC7-AS1,0,0,1,0
TRPC7-AS2,0,0,1,0
RNA5SP193,0,0,1,0
SPOCK1,8.347022709,7.94391738,0.006123225,0.403105329
KLHL3,0.425178474,0.386916224,0.814750637,0.03826225
MIR874,0,0,1,0
HNRNPA0,7.816208794,7.491739849,0.002580413,0.324468945
NPY6R,0,0,1,0
MYOT,0.037224089,0,0.422649731,0.037224089
PKD2L2,0,0.111527741,0.245596798,-0.111527741
FAM13B,6.315776188,5.96644177,0.029195336,0.349334418
RNU6-1148P,0,0,1,0
WNT8A,0,0,1,0
NME5,0,0.032677999,0.422649731,-0.032677999
RNU6-460P,0,0,1,0
BRD8,7.274971278,7.539934963,0.000259361,-0.264963685
KIF20A,8.463442939,8.60970411,0.00518332,-0.14626117
CDC23,6.98801221,6.883101392,0.123973427,0.104910818
GFRA3,0.909067479,1.327144654,0.120619764,-0.418077175
RPS27AP18,0.073585397,0.036849188,0.686104944,0.036736209
CDC25C,5.43323575,5.626710494,0.041429828,-0.193474745
FAM53C,7.145399345,7.236695374,0.108702442,-0.091296028
KDM3B,7.634383043,7.761957404,0.043224726,-0.127574361
REEP2,4.520827227,4.797666642,0.088183958,-0.276839415
EGR1,4.077596707,3.749069128,0.191349917,0.328527579
RPL7P19,0,0.036849188,0.422649731,-0.036849188
ETF1,8.396966964,8.215319805,0.007799028,0.18164716
HSPA9,8.872281046,8.911246633,0.218504765,-0.038965587
SNORD63B,0.329511808,0.103752634,0.318594547,0.225759174
SNORD63,0.147803879,0.146580983,0.991753932,0.001222896
CTNNA1,9.087649749,9.173707872,0.010846099,-0.086058123
CTNNA1-AS1,0.037224089,0,0.422649731,0.037224089
LRRTM2,0,0,1,0
SIL1,4.327866676,4.546857842,0.248732712,-0.218991166
RNA5SP194,0,0,1,0
RNU6-572P,0,0,1,0
MATR3,0.216400911,0.193864682,0.897460516,0.022536229
SNORA74D,0.146489731,0,0.183512243,0.146489731
SNORA74A,0,0,1,0
MATR3,2.862600812,2.211596868,0.012336365,0.651003944
RNA5SP195,0.0381988,0.111527741,0.416702103,-0.073328941
RN7SKP64,0,0,1,0
PAIP2,7.204798644,7.141506627,0.420963062,0.063292016
SLC23A1,0,0,1,0
MZB1,0.075422889,0,0.183571593,0.075422889
PROB1,1.558644923,2.109093632,0.130666025,-0.550448709
SPATA24,2.394400802,3.164481903,0.026227769,-0.770081101
DNAJC18,5.050721468,5.341310601,0.071789551,-0.290589133
RNU5B-4P,0,0,1,0
ECSCR,0,0,1,0
SMIM33,0,0,1,0
STING1,5.595390722,5.662100966,0.520823161,-0.066710244
UBE2D2,7.404851128,7.223367575,0.003848036,0.181483553
H3P25,0,0,1,0
CXXC5,5.47554614,5.664623772,0.044465574,-0.189077632
CXXC5-AS1,0.0381988,0.032677999,0.917958385,0.005520801
RNU6-236P,0,0,1,0
PSD2,0.142203558,0.06327605,0.52056272,0.078927507
NRG2,0.397547878,0.760525408,0.272653658,-0.362977531
PURA,6.213077235,5.610362437,0.010773622,0.602714798
IGIP,3.405793745,3.158355039,0.286844287,0.247438706
LOC101929719,0.293241826,0.422966214,0.628060098,-0.129724388
CYSTM1,4.889655308,4.859341887,0.677458288,0.030313421
PFDN1,6.449744869,6.495216593,0.324097703,-0.045471725
HBEGF,4.016928916,4.195279547,0.169085273,-0.178350632
SLC4A9,0,0.161186683,0.422649731,-0.161186683
RNU4-14P,0.0381988,0,0.422649731,0.0381988
ANKHD1,1.877825969,1.545956777,0.308658887,0.331869192
ANKHD1-EIF4EBP3,0.87332194,0.639381457,0.170777236,0.233940483
SRA1,5.805793147,6.132222373,0.000173705,-0.326429227
EIF4EBP3,0.072904334,0.103752634,0.763184275,-0.0308483
APBB3,3.114205995,3.607018907,0.03900094,-0.492812912
MIR6831,0,0,1,0
SLC35A4,6.839274774,7.042615242,0.003047886,-0.203340468
RPL36P11,0,0,1,0
CD14,3.409058436,3.518261202,0.355773756,-0.109202765
NDUFA2,6.152472832,6.519183517,0.010633124,-0.366710685
TMCO6,3.145753441,3.434205041,0.332038055,-0.288451601
IK,7.039043193,7.186206496,0.123252555,-0.147163302
MIR3655,0,0,1,0
WDR55,6.187836151,6.225118793,0.526761474,-0.037282641
DND1,0.991560337,1.055271037,0.820026263,-0.063710701
HARS1,7.140480057,7.355395699,0.001296804,-0.214915642
HARS2,5.35254355,5.520018625,0.120713072,-0.167475076
ZMAT2,7.109772805,6.964550772,0.017318311,0.145222032
VTRNA1-1,0,0,1,0
VTRNA1-2,0.0381988,0.448801143,0.19779239,-0.410602342
VTRNA1-3,0.256804581,0.280372816,0.929831982,-0.023568236
LOC100421074,0,0,1,0
PCDHA1,0.252715567,0.142125792,0.643379149,0.110589774
PCDHA2,0.0381988,0.100125239,0.413581175,-0.061926438
PCDHA3,0.147803879,0.134350685,0.870111374,0.013453194
PCDHA4,0.162632504,0.06327605,0.614665311,0.099356454
PCDHA5,0,0,1,0
PCDHA6,0.179449951,0.144791757,0.756990238,0.034658195
PCDHA7,0.372927797,0.343231652,0.860993224,0.029696145
PCDHA8,0.073585397,0,0.422649731,0.073585397
PCDHA9,0,0,1,0
PCDHA10,0,0,1,0
PCDHA14,0,0,1,0
PCDHA11,0.215107892,0,0.063628402,0.215107892
PCDHA12,0.075056475,0.146573827,0.678192405,-0.071517352
PCDHA13,0.072904334,0,0.422649731,0.072904334
PCDHAC1,0,0.103025264,0.422649731,-0.103025264
PCDHAC2,0.52131802,0.326735984,0.349206905,0.194582036
PCDHB1,0.075056475,0.09204316,0.876519079,-0.016986685
PCDHB2,1.782796457,1.310069373,0.082155528,0.472727084
PCDHB3,0.073585397,0.142125792,0.542866354,-0.068540395
PCDHB4,0.79407972,0.428133631,0.103836053,0.365946089
PCDHB5,1.096569648,1.310197123,0.50382008,-0.213627475
PCDHB6,0,0,1,0
PCDHB17P,0,0,1,0
PCDHB7,0.420045382,0.175389808,0.266346219,0.244655574
PCDHB8,0.517245743,0.422916611,0.565773172,0.094329132
PCDHB16,1.179527767,1.260936371,0.786446624,-0.081408604
PCDHB9,0.486338268,0.515215931,0.929303947,-0.028877663
PCDHB10,1.097717049,0.501970771,0.150322075,0.595746278
PCDHB11,0.81280317,0.755977056,0.591119103,0.056826114
PCDHB12,1.069294185,0.728102372,0.132501209,0.341191813
PCDHB13,1.361348064,0.892781258,0.166519951,0.468566806
PCDHB14,2.145393595,1.813983414,0.0970273,0.331410181
PCDHB18P,1.76306952,1.169330082,0.251687729,0.593739438
PCDHB15,1.821442942,1.624835045,0.516441049,0.196607897
TAF7,7.052527117,7.009261431,0.470495939,0.043265687
SLC25A2,0,0,1,0
PCDHGA1,1.38664615,1.126025707,0.159007082,0.260620443
PCDHGA2,1.759205504,1.489870123,0.327334177,0.269335381
PCDHGA3,0.992453007,1.101074032,0.603088303,-0.108621025
PCDHGB1,0.307175161,0.351142768,0.764831215,-0.043967607
PCDHGA4,1.925034244,2.095489078,0.399305012,-0.170454834
PCDHGB2,3.119197352,3.133052212,0.915007983,-0.013854859
PCDHGA5,0.937592692,1.197892384,0.42242807,-0.260299692
PCDHGB3,1.809743585,1.833967179,0.938277933,-0.024223594
PCDHGA6,2.107703165,1.978593618,0.401727514,0.129109547
PCDHGA7,0.95078358,0.600528016,0.299652901,0.350255564
PCDHGB4,0.037832386,0.041039123,0.956958428,-0.003206737
PCDHGA8,0.475979839,0.365833737,0.751638404,0.110146102
PCDHGB5,4.638588839,4.523009844,0.451027527,0.115578995
PCDHGA9,1.522300665,1.376896738,0.504761285,0.145403927
PCDHGB6,1.209462443,1.213421152,0.991586175,-0.003958708
PCDHGA10,2.544620056,2.729129552,0.460228119,-0.184509496
PCDHGB7,2.043698479,2.10320474,0.732309476,-0.059506261
PCDHGA11,1.069146155,1.208305165,0.620625808,-0.13915901
PCDHGB8P,0.109605079,0.242795332,0.224929746,-0.133190254
PCDHGA12,1.75721241,2.188000732,0.121922609,-0.430788321
PCDHGB9P,0.147803879,0.242795332,0.305615091,-0.094991454
PCDHGC3,5.607154534,5.946045359,0.067239037,-0.338890825
RN7SL68P,0.037224089,0.071074635,0.701324656,-0.033850546
PCDHGC4,0.396489584,0.484395955,0.656656425,-0.087906371
PCDHGC5,0.40082976,1.230033497,0.004059093,-0.829203736
DIAPH1,8.538656396,8.630309453,0.054025084,-0.091653057
DIAPH1-AS1,0,0,1,0
HDAC3,6.8990768,7.116474946,0.007457279,-0.217398146
RELL2,4.388980522,4.707751233,0.068266053,-0.318770712
FCHSD1,5.223253542,5.37602108,0.135158702,-0.152767537
ARAP3,4.199121787,4.84406481,0.001820471,-0.644943023
PCDH1,0.250949515,1.190069977,0.043878517,-0.939120462
DELE1,5.876565626,6.127471853,0.001966964,-0.250906227
PCDH12,0,0.100125239,0.210538743,-0.100125239
RNF14,5.458343231,4.936106531,0.006947711,0.5222367
GNPDA1,6.666696055,6.36335611,0.01024703,0.303339945
NDFIP1,7.181272132,6.741852122,0.000219551,0.439420009
SPRY4,3.887036625,4.239679802,0.181091477,-0.352643177
SPRY4-AS1,0.399917759,0.141164362,0.120962777,0.258753397
RPS12P10,0,0,1,0
FGF1,3.475176208,2.900360813,0.162455884,0.574815394
LINC01844,0,0.078849742,0.422649731,-0.078849742
ARHGAP26,4.876081625,5.331054852,0.047293584,-0.454973227
ARHGAP26-AS1,0,0,1,0
ARHGAP26-IT1,0.0381988,0.041039123,0.962036654,-0.002840323
NR3C1,7.880088228,7.633843149,0.000595709,0.246245079
RNU7-156P,0,0,1,0
LOC105378208,0.0381988,0,0.422649731,0.0381988
MIR5197,0,0,1,0
HMHB1,0,0,1,0
RN7SL87P,0,0,1,0
YIPF5,7.10418755,6.906340978,0.032879489,0.197846573
KCTD16,2.608510872,2.344296315,0.54148154,0.264214557
NAMPTP2,0,0,1,0
ASS1P10,0,0.032677999,0.422649731,-0.032677999
PRELID2,4.347685238,4.20333345,0.385560544,0.144351788
GRXCR2,0,0.165662716,0.301556557,-0.165662716
SH3RF2,5.288284982,5.271051518,0.263961834,0.017233465
PLAC8L1,0.207115847,0.308971409,0.474738809,-0.101855561
LARS1,8.280370409,8.015335599,0.004156293,0.26503481
RPL35AP17,0,0,1,0
RBM27,0.037832386,0,0.422649731,0.037832386
RBM27,5.654049341,4.652313525,0.001007618,1.001735816
RNU7-180P,0,0,1,0
POU4F3,0.113255275,0.071074635,0.613053174,0.042180641
TCERG1,6.927401721,6.584143028,0.001312964,0.343258693
GPR151,0,0,1,0
PPP2R2B,1.90386025,2.28263797,0.257101156,-0.37877772
RNA5SP196,0,0,1,0
RN7SL791P,0,0,1,0
PPP2R2B-IT1,0,0,1,0
STK32A,0.037832386,0.316559521,0.39226933,-0.278727135
DPYSL3,9.264348908,9.549556032,0.006454166,-0.285207124
JAKMIP2-AS1,0.037224089,0,0.422649731,0.037224089
JAKMIP2,0.037224089,0.032677999,0.931356158,0.00454609
SPINK1,0,0,1,0
LOC100288484,0,0,1,0
SCGB3A2,0,0.036849188,0.422649731,-0.036849188
C5orf46,0,0.032677999,0.422649731,-0.032677999
SPINK5,0,0,1,0
SPINK14,0,0,1,0
SPINK6,0,0,1,0
HMGN1P16,0,0,1,0
MARCOL,0,0,1,0
SPINK13,0,0,1,0
FBXO38-DT,0,0,1,0
SPINK7,0,0,1,0
SPINK9,0,0,1,0
FBXO38,5.921262213,6.026490212,0.040330787,-0.105227999
HTR4,0,0,1,0
ADRB2,1.770391961,1.749124026,0.945148667,0.021267936
SH3TC2,3.563813355,3.222839876,0.199582506,0.340973479
RNU6-732P,0.0381988,0.036849188,0.980932958,0.001349612
MIR584,0,0,1,0
SH3TC2-DT,0.113255275,0.178974981,0.21579094,-0.065719705
RN7SKP145,0,0,1,0
ABLIM3,6.223661602,6.434922453,0.141773479,-0.211260851
AFAP1L1,5.48451902,5.698062159,0.106669061,-0.213543139
GRPEL2,5.63953135,4.848597028,0.000618004,0.790934322
GRPEL2-AS1,0,0.09204316,0.422649731,-0.09204316
PCYOX1L,4.101749827,4.502637319,0.013479749,-0.400887492
IL17B,0,0,1,0
MIR143,0,0,1,0
MIR145,0,0,1,0
CSNK1A1,7.756542547,7.727769145,0.663914152,0.028773402
ARHGEF37,1.476665971,1.816685037,0.114550377,-0.340019066
RNU6-588P,0,0,1,0
RN7SL868P,0,0,1,0
PPARGC1B,2.741995166,2.876251668,0.486966159,-0.134256502
MIR378A,0,0,1,0
PDE6A,0,0,1,0
SLC26A2,5.968858014,5.252831052,0.002102147,0.716026962
TIGD6,3.007371226,2.99202831,0.95231378,0.015342915
HMGXB3,6.564706416,6.86943717,0.000230591,-0.304730754
CSF1R,0,0.653363458,0.041666443,-0.653363458
RPL7P1,1.397917693,1.136009375,0.396399876,0.261908318
PDGFRB,5.779831879,5.999543842,0.045936322,-0.219711963
CDX1,0,0,1,0
SLC6A7,0.075422889,0.073717122,0.975973022,0.001705767
CAMK2A,0.699239854,1.061183863,0.373381008,-0.361944009
ARSI,5.848617367,6.584784652,0.008150949,-0.736167285
TCOF1,7.875800155,8.093093839,0.001833283,-0.217293684
CD74,3.254724541,4.638354198,0.008003749,-1.383629657
RPS14,9.287220075,9.427641864,0.011363408,-0.140421789
NDST1-AS1,0.0381988,0.247156073,0.245960148,-0.208957273
NDST1,8.049796571,8.147738422,0.047392751,-0.097941851
SYNPO,4.445400893,4.874673054,0.010517324,-0.429272161
MYOZ3,0.166376535,0.144791757,0.909742782,0.021584778
RBM22,6.193880754,6.221993799,0.412619703,-0.028113044
DCTN4,7.112598713,6.791627184,0.010035119,0.320971529
SMIM3,3.654762025,4.304513028,0.009868329,-0.649751003
IRGM,0.075056475,0.071074635,0.963569101,0.00398184
ZNF300,4.612742835,4.109685452,0.006286193,0.503057383
LOC100419553,0,0,1,0
GPX3,3.507383875,4.689667221,0.005881763,-1.182283346
TNIP1,8.11800352,8.642492198,0.004488153,-0.524488678
ANXA6,7.757337659,7.964881629,0.096615557,-0.20754397
PDGFRL2P,0,0,1,0
CCDC69,3.139583894,3.876039696,0.010493084,-0.736455802
GM2A,5.560047031,5.293080967,0.020658771,0.266966064
SLC36A3,0,0,1,0
SLC36A2,0,0.041039123,0.422649731,-0.041039123
ATP6V1G1P5,0,0,1,0
LOC100420127,0,0,1,0
SLC36A1,4.614048665,4.79613298,0.12783031,-0.182084316
RNA5SP197,0,0,1,0
FAT2,0.250949515,1.189606769,0.051301706,-0.938657254
MIR6499,0,0,1,0
LOC105378231,0.0381988,0,0.422649731,0.0381988
SPARC,11.81692616,11.57035583,0.016797901,0.246570324
CLMAT3,0.483305543,0.829058877,0.135356924,-0.345753335
RN7SKP232,0,0,1,0
ATOX1,4.910711915,5.075966562,0.038243274,-0.165254648
G3BP1,9.379986274,8.94750451,0.00064559,0.432481765
GLRA1,0,0,1,0
GLULP1,0,0,1,0
RNA5SP198,0,0,1,0
LINC01933,0,0,1,0
NMUR2,0,0,1,0
RPL36AP20,0,0,1,0
LINC01470,0,0,1,0
GRIA1,0.21542254,0.233065206,0.947447148,-0.017642666
RN7SL177P,0,0,1,0
LINC01861,0,0,1,0
FAM114A2,5.05765514,4.73380715,0.008720162,0.32384799
MFAP3,6.079401375,5.845319295,0.139661398,0.23408208
GALNT10,7.169494087,7.245591591,0.076721448,-0.076097503
SAP30L-AS1,0.676422547,0.915624285,0.310229122,-0.239201739
HNRNPA3P7,0,0,1,0
MIR1294,0,0,1,0
RN7SL655P,0,0,1,0
SAP30L,5.584077835,5.468214214,0.111207345,0.115863622
HAND1,0.992333788,0.685586634,0.14832071,0.306747154
LOC100128833,0,0,1,0
CIR1P1,0.037832386,0,0.422649731,0.037832386
MIR3141,0,0,1,0
MIR1303,0,0,1,0
LARP1,9.162120247,9.222722633,0.072197526,-0.060602386
RN7SL803P,0,0,1,0
RPL21P57,0,0,1,0
FAXDC2,4.424478603,4.705299971,0.098570949,-0.280821368
MIR378H,0,0,1,0
CNOT8,6.572950258,6.363188162,0.043954165,0.209762096
GEMIN5,6.252758035,6.260371198,0.752245259,-0.007613164
MRPL22,6.052467214,6.044381973,0.800609487,0.008085241
KIF4B,0.83752339,0.784543282,0.683607117,0.052980108
LOC100131520,0,0,1,0
PPIGP1,0,0,1,0
RNA5SP199,0,0,1,0
SGCD,0.960276089,0.591010542,0.190566623,0.369265547
RNU6-556P,0,0,1,0
PPP1R2B,0.240202206,0.032677999,0.229927855,0.207524207
TIMD4,0,0.036849188,0.422649731,-0.036849188
HAVCR1,0,0.11569893,0.232509063,-0.11569893
HAVCR2,0.071772693,0.396187938,0.093070154,-0.324415245
MED7,3.779855401,3.250369001,0.020046063,0.529486399
ITK,0.14535809,0.11056631,0.680052957,0.034791779
FAM71B,0,0,1,0
CYFIP2,2.570956434,2.547349249,0.928618567,0.023607185
FNDC9,0,0,1,0
ADAM19,6.69919991,6.977218092,0.017996514,-0.278018182
RPL26P18,0,0,1,0
NIPAL4,0.487116526,1.266222556,0.062337381,-0.779106029
RNU6-390P,0,0,1,0
SOX30,0.037832386,0,0.422649731,0.037832386
C5orf52,0,0,1,0
THG1L,4.980938675,5.011862534,0.551661636,-0.030923859
LSM11,5.086892838,4.886267273,0.044104315,0.200625565
CLINT1,7.547303879,7.335962105,0.01483514,0.211341774
RNU6-260P,0,0,1,0
RNU2-48P,0,0,1,0
MARK2P11,0,0,1,0
LOC345471,0.037832386,0,0.422649731,0.037832386
LOC100130177,0,0,1,0
LINC02227,0,0,1,0
EBF1,0.700324062,0.800318339,0.732367334,-0.099994277
LINC02202,0,0,1,0
RNF145,7.520091252,7.465557303,0.353723528,0.05453395
LINC01932,0,0,1,0
UBLCP1,5.633623351,5.102838761,0.021794222,0.53078459
LOC285626,0.113255275,0.501431914,0.057003913,-0.388176638
IL12B,0,0,1,0
RNU4ATAC2P,0,0,1,0
LINC01845,0,0,1,0
LINC01847,0,0,1,0
ADRA1B,1.77044791,1.984163594,0.391663363,-0.213715684
TTC1,6.397105661,6.459160526,0.313902496,-0.062054865
PWWP2A,5.508183291,5.23490675,0.02683238,0.273276541
FABP6,0,0.103025264,0.422649731,-0.103025264
CCNJL,4.19119388,4.342868363,0.308188109,-0.151674482
C1QTNF2,2.802104589,2.355785846,0.009221256,0.446318743
ZBED8,3.46584839,3.114958885,0.147033317,0.350889505
SLU7,6.273888167,6.319567868,0.359513485,-0.045679701
PTTG1,7.460975662,7.714087245,0.000200363,-0.253111582
MIR3142HG,0,0.113902984,0.422649731,-0.113902984
MIR3142,0,0,1,0
MIR146A,0,0,1,0
ATP10B,0,0,1,0
LINC02159,0,0.032677999,0.422649731,-0.032677999
GABRB2,0,0,1,0
GABRA6,0,0,1,0
GABRA1,0,0,1,0
GABRG2,0,0,1,0
ARL2BPP5,0,0,1,0
MRPL57P6,0,0,1,0
CCNG1,7.746790271,7.058622423,0.00032501,0.688167849
NUDCD2,5.430529244,5.423073865,0.920090953,0.007455379
HMMR,7.627099869,7.159989613,0.003764749,0.467110256
MAT2B,7.274630035,6.876623731,0.002954676,0.398006305
RNU6-168P,0,0,1,0
LOC100419716,0,0,1,0
LSM1P2,0,0,1,0
LOC102546299,0,0,1,0
RPS15P6,0,0,1,0
RNU6-209P,0,0,1,0
RN7SKP60,0,0,1,0
RPL21P59,0,0,1,0
RPL7P20,0.075056475,0.069527187,0.919359809,0.005529288
LINC01947,0,0,1,0
LOC101927908,0,0,1,0
TENM2,5.977458747,6.485930092,0.00159272,-0.508471345
CTB-178M22.2,0.109971493,0,0.21908566,0.109971493
WWC1,7.28062219,7.331864685,0.370281955,-0.051242495
RARS1,7.599492053,7.51874925,0.212180905,0.080742803
FBLL1,0.529851689,0.472993699,0.813201472,0.05685799
PANK3,7.977699256,7.175151091,0.001155467,0.802548164
MIR103A1,0,0,1,0
MIR103B1,0,0,1,0
RPL10P9,0.73246502,0.951151093,0.543936802,-0.218686072
SLIT3,7.130653818,7.320669193,0.016642599,-0.190015375
MIR218-2,0,0.09204316,0.422649731,-0.09204316
MIR585,0,0,1,0
RNU6-477P,0,0,1,0
SPDL1,7.119572583,6.967307415,0.085781729,0.152265167
DOCK2,2.255915329,3.250614069,0.006635152,-0.99469874
INSYN2B,4.102270639,4.129443955,0.790168653,-0.027173316
MIR378E,0,0,1,0
FOXI1,0,0,1,0
KRT18P41,0,0.213066734,0.422649731,-0.213066734
C5orf58,0,0,1,0
LCP2,0,0,1,0
LOC100128059,0,0,1,0
LINC01366,0.0381988,0.041039123,0.962036654,-0.002840323
KCNIP1,0,0,1,0
KCNMB1,0,0,1,0
KCNIP1-OT1,0,0,1,0
KCNIP1-AS1,0,0,1,0
GABRP,0,0,1,0
RANBP17,0,0,1,0
RN7SL623P,0,0,1,0
TLX3,0,0,1,0
RN7SL339P,0,0,1,0
RPSAP71,0,0,1,0
SNORA70J,0,0,1,0
RPL10P8,0,0.032677999,0.422649731,-0.032677999
MIR3912,0,0,1,0
NPM1,10.20059984,10.05356187,0.012467006,0.147037975
FGF18,0.496083166,0.658052376,0.693553808,-0.16196921
SMIM23,0,0,1,0
FBXW11,7.143407372,7.054399887,0.095186022,0.089007485
STK10,6.214947782,6.404545399,0.064383845,-0.189597618
EFCAB9,0,0,1,0
UBTD2,6.289059504,5.984151765,0.024199839,0.304907739
SH3PXD2B,6.399021408,6.602898473,0.071199598,-0.203877065
LINC01944,0,0,1,0
NEURL1B,3.899751318,4.324055074,0.059912375,-0.424303756
MIR5003,0,0,1,0
LOC101928093,0,0,1,0
DUSP1,5.549737563,5.269754252,0.001374224,0.279983311
ERGIC1,8.10614146,8.073673549,0.291052583,0.032467911
LOC100268168,0.659343949,0.859753278,0.595398825,-0.200409329
RPL26L1,4.723419389,5.0610089,0.054641273,-0.337589511
ATP6V0E1,6.902644762,6.870869897,0.736202905,0.031774865
SNORA74B,0,0.036849188,0.422649731,-0.036849188
CREBRF,4.580236022,4.02623511,0.001893681,0.554000911
BNIP1,3.966178588,3.910796884,0.6102195,0.055381704
RPL7AP33,0,0,1,0
NKX2-5,0.756458884,1.149375714,0.397435654,-0.39291683
RNA5SP200,0,0,1,0
STC2,7.988101438,7.908139263,0.067232751,0.079962174
MIR8056,0,0,1,0
RNU6-500P,0,0,1,0
LOC285593,0,0,1,0
BOD1,6.399957523,6.411520593,0.885610913,-0.01156307
LINC01942,0,0,1,0
LINC01484,0,0,1,0
LINC01485,0,0.146573827,0.422649731,-0.146573827
CPEB4,5.376050729,5.219403063,0.232683416,0.156647666
C5orf47,0,0,1,0
RPL12P22,0,0,1,0
NSG2,0,0,1,0
LINC01411,0.109605079,0.165662716,0.706231893,-0.056057638
MSX2,2.746798901,2.739529443,0.906921953,0.007269458
MIR4634,0,0,1,0
LINC01951,0,0,1,0
NIFKP2,0,0,1,0
ARL2BPP6,0,0,1,0
DRD1,0.949535939,0.862779842,0.752570498,0.086756096
SFXN1,7.486384102,7.390525821,0.146018389,0.095858281
RN7SKP148,0,0,1,0
HRH2,0.111103134,0.330454445,0.316405493,-0.21935131
RNU6-226P,0,0,1,0
CPLX2,0,0,1,0
THOC3,4.433691394,4.549418861,0.260406229,-0.115727467
OR1X1P,0,0,1,0
LOC100996385,0,0,1,0
FAM153B,0,0,1,0
FAM153B,0,0,1,0
LOC643201,0,0.036849188,0.422649731,-0.036849188
SIMC1,3.097474298,2.556940119,0.034998098,0.540534179
BRCC3P1,0.375521978,0.334915193,0.876919304,0.040606785
KIAA1191,8.082518626,8.146761777,0.194572665,-0.064243151
ARL10,5.516346653,5.783801483,0.041529028,-0.26745483
MIR1271,0,0.032677999,0.422649731,-0.032677999
NOP16,5.239442919,5.322635358,0.468383552,-0.083192439
HIGD2A,6.099332761,6.377741388,0.015518161,-0.278408626
CLTB,6.019841615,6.29371386,0.014438545,-0.273872245
FAF2,7.337647529,7.210649566,0.00949577,0.126997963
RNF44,5.031226034,5.184049179,0.213570535,-0.152823145
CDHR2,0.071772693,0,0.422649731,0.071772693
RN7SL684P,0,0,1,0
GPRIN1,5.116914456,5.434539567,0.033918996,-0.317625111
SNCB,0.144378003,0.3402834,0.220446251,-0.195905396
MIR4281,0,0,1,0
EIF4E1B,0,0,1,0
TSPAN17,6.442838066,6.524996048,0.038311192,-0.082157982
LINC01574,0,0,1,0
UNC5A,0.696624014,0.751991361,0.788347409,-0.055367346
HK3,0,0,1,0
UIMC1,5.364315867,5.577740626,0.102510895,-0.213424759
ZNF346,5.080991962,5.20385051,0.218024109,-0.122858547
FGFR4,2.212433888,2.880684867,0.019168781,-0.66825098
NSD1,7.951858084,8.149287007,0.00295413,-0.197428923
RPL21P60,0,0.032677999,0.422649731,-0.032677999
RAB24,2.067083515,2.392433465,0.28521853,-0.32534995
MXD3,4.557806876,4.824132377,0.111871335,-0.266325501
PRELID1,7.509782061,7.76190219,0.028221596,-0.252120129
LMAN2,7.727309125,7.92942657,0.041346121,-0.202117445
RPS20P17,0,0,1,0
RGS14,2.406888253,2.95921382,0.03714483,-0.552325568
SLC34A1,0,0,1,0
PFN3,0,0,1,0
F12,1.868408893,2.682173078,0.017624386,-0.813764185
GRK6,6.513595757,6.730873434,0.016992031,-0.217277677
PRR7,3.322349259,3.557696914,0.140655579,-0.235347654
DBN1,7.760157622,8.065334497,0.00097305,-0.305176875
PDLIM7,6.560636415,7.041983457,0.006607933,-0.481347042
DOK3,3.38035759,3.653949804,0.172923691,-0.273592215
DDX41,6.401198181,6.683873863,0.008757862,-0.282675682
FAM193B,4.996957997,5.149923792,0.068990941,-0.152965795
